transcript_id,median_expression
PNW88964,12.264597499999999
PNW89007,0.109388
PNW89008,0.0
PNW87871,0.0
PNW88663,25.2244515
PNW87935,11.442608499999999
PNW88719,0.0
PNW88720,0.0
PNW89054,54.841039
PNW88445,11.128748
PNW88986,1.6083919999999998
PNW87807,3.2109175
PNW88379,8.694032
PNW88378,0.422801
PNW88412,6.606819499999999
PNW89087,0.210428
PNW88665,0.677297
PNW88890,5.0057
PNW87944,6.8564465000000006
PNW88976,71.29032649999999
PNW88531,10.6406465
PNW88118,15.020873499999999
PNW88228,1.1068295
PNW88639,352.58085400000004
PNW88721,3.6982885
PNW88722,0.0
PNW88450,4.4668030000000005
PNW88449,0.0763505
PNW87746,3.0342165
PNW88263,7.1663135
PNW88830,0.0
PNW87919,9.322301999999999
PNW87844,8.3802585
PNW87843,10.5643375
PNW88086,16.057727
PNW88642,0.0
PNW87833,0.0
PNW87832,12.3352935
PNW88471,25.206362000000002
PNW87887,4.936532
PNW89021,0.8842650000000001
PNW89093,6.544579
PNW87829,0.0
PNW88777,52.6441225
PNW88254,2.548835
PNW88534,0.866298
PNW87785,0.734926
PNW88324,37.3751845
PNW88510,0.0
PNW88509,62.292390499999996
PNW87979,1.4211575
PNW88221,7.4336625000000005
PNW88340,1.0419425
PNW89032,0.915197
PNW87890,10.68651
PNW87780,2.8902315
PNW87864,6.5280165
PNW88904,3.88118
PNW88248,1.3735455
PNW88249,10.1542925
PNW88667,1.936163
PNW89099,0.18495899999999998
PNW88337,22.057882499999998
PNW88648,61.7842495
PNW88734,4.1252255
PNW88863,0.136762
PNW89046,2.399028
PNW88562,1.4899624999999999
PNW87750,49.4209485
PNW88182,1.364943
PNW88834,65.14350300000001
PNW87892,0.0
PNW87863,37.027045
PNW88723,0.0
PNW88724,0.0
PNW88500,0.5183425
PNW87862,14.4433735
PNW88583,2.844729
PNW88312,2.5211135
PNW88636,24.829183
PNW88366,2.8162599999999998
PNW88532,1.2467175
PNW88199,4.491491
PNW88852,5.8998935
PNW89003,0.0203105
PNW88553,0.5354055
PNW88261,13.0351565
PNW88931,18.732385
PNW87865,105.667636
PNW87757,0.16388
PNW88745,0.064043
PNW87855,3.981201
PNW88710,4.091171
PNW88711,1.5440355
PNW88138,40.9690685
PNW88226,3.0584335
PNW88311,1.0424410000000002
PNW88702,15.5798235
PNW88853,0.457333
PNW88715,0.389954
PNW88758,2.466358
PNW87782,0.093849
