Name,Length,EffectiveLength,TPM,NumReads
PNW88964,1327,1138.906,7.445398,21.000
PNW89007,5090,4901.906,0.000000,0.000
PNW89008,3975,3786.906,0.000000,0.000
PNW87871,2041,1852.906,0.000000,0.000
PNW88663,2930,2741.906,10.455918,71.000
PNW87935,3925,3736.906,3.565810,33.000
PNW88719,3075,2886.906,0.000000,0.000
PNW88720,2102,1913.906,0.632932,3.000
PNW89054,1495,1306.906,44.182283,143.000
PNW88445,6061,5872.906,8.044317,117.000
PNW88986,3053,2864.906,2.959820,21.000
PNW87807,9739,9550.906,3.466775,82.000
PNW88379,4494,4305.906,30.223578,322.295
PNW88378,1626,1437.906,0.000000,0.000
PNW88412,1716,1527.906,16.120913,61.000
PNW89087,3057,2868.906,0.411059,2.921
PNW88665,1622,1433.906,2.534418,9.000
PNW88890,2518,2329.906,11.611620,67.000
PNW87944,2485,2296.906,6.328717,36.000
PNW88976,3201,3012.906,86.242698,643.504
PNW88531,1625,1436.906,12.926648,46.000
PNW88118,2291,2102.906,82.182685,428.000
PNW88228,3943,3754.906,1.505516,14.000
PNW88639,2099,1910.906,61.702101,292.000
PNW88721,1108,919.906,6.642877,15.134
PNW88722,381,195.419,5.922734,2.866
PNW88450,8748,8559.906,0.330221,7.000
PNW88449,5442,5253.906,0.000000,0.000
PNW87746,3203,3014.906,3.885140,29.008
PNW88263,1500,1311.906,6.771368,22.000
PNW88830,3784,3595.906,0.000000,0.000
PNW87919,3200,3011.906,3.083492,23.000
PNW87844,10605,10416.906,2.570390,66.310
PNW87843,10599,10410.906,6.014477,155.071
PNW88086,6004,5815.906,12.983166,187.000
PNW88642,626,437.998,0.000000,0.000
PNW87833,1287,1098.906,0.000000,0.000
PNW87832,2976,2787.906,11.442090,79.000
PNW88471,5077,4888.906,29.816172,361.000
PNW87887,2536,2347.906,21.497389,125.000
PNW89021,2091,1902.906,1.060985,5.000
PNW89093,5615,5426.906,6.845291,92.000
PNW87829,2526,2337.906,1.899862,11.000
PNW88777,691,502.961,126.043972,157.000
PNW88254,2082,1893.906,5.969749,28.000
PNW88534,2183,1994.906,0.404822,2.000
PNW87785,2502,2313.906,0.000000,0.000
PNW88324,2416,2227.906,39.148335,216.000
PNW88510,1200,1011.906,3.104536,7.780
PNW88509,1921,1732.906,330.231652,1417.220
PNW87979,4252,4063.906,35.173533,354.000
PNW88221,3217,3028.906,12.264742,92.000
PNW88340,3049,2860.906,0.564564,4.000
PNW89032,1285,1096.906,2.944944,8.000
PNW87890,985,796.907,7.600464,15.000
PNW87780,2525,2336.906,2.073464,12.000
PNW87864,1535,1346.906,17.987484,60.000
PNW88904,2758,2569.906,5.871841,37.371
PNW88248,2355,2166.906,0.000000,0.000
PNW88249,2334,2145.906,11.101911,59.000
PNW88667,6336,6147.906,2.430138,37.000
PNW89099,3472,3283.906,0.853887,6.944
PNW88337,5050,4861.906,56.641427,682.000
PNW88648,1640,1451.906,19.745871,71.000
PNW88734,1260,1071.906,3.390333,9.000
PNW88863,5246,5057.906,0.319334,4.000
PNW89046,2706,2517.906,8.178753,51.000
PNW88562,2259,2070.906,1.949827,10.000
PNW87750,3789,3600.906,28.818921,257.000
PNW88182,4240,4051.906,11.248582,112.876
PNW88834,2719,2530.906,24.582302,154.079
PNW87892,2450,2261.906,0.000000,0.000
PNW87863,2342,2153.906,30.536453,162.888
PNW88723,1039,850.906,0.000000,0.000
PNW88724,668,479.970,0.000000,0.000
PNW88500,7078,6889.906,0.234425,4.000
PNW87862,653,464.979,0.000000,0.000
PNW88583,2695,2506.906,1.449642,9.000
PNW88312,2252,2063.906,1.369508,7.000
PNW88636,3185,2996.906,24.387195,181.000
PNW88366,6437,6248.906,3.424745,53.000
PNW88532,3155,2966.906,3.130260,23.000
PNW88199,6286,6097.906,6.423140,97.000
PNW88852,1610,1421.906,6.815486,24.000
PNW89003,3179,2990.906,0.135006,1.000
PNW88553,4592,4403.906,6.785003,74.000
PNW88261,2092,1903.906,4.029624,19.000
PNW88931,3412,3223.906,10.270412,82.000
PNW87865,3055,2866.906,141.690562,1006.000
PNW87757,3143,2954.906,0.136651,1.000
PNW88745,1926,1737.906,0.000000,0.000
PNW87855,1525,1336.906,1.510169,5.000
PNW88710,4192,4003.906,6.051547,60.006
PNW88711,3903,3714.906,0.000000,0.000
PNW88138,8196,8007.906,35.649776,707.000
PNW88226,2906,2717.906,9.953980,67.000
PNW88311,8639,8450.906,2.866846,60.000
PNW88702,1178,989.906,34.264298,84.000
PNW88853,2144,1955.906,5.161173,25.000
PNW88715,1546,1357.906,0.297363,1.000
PNW88758,4378,4189.906,0.385489,4.000
PNW87782,531,343.135,0.000000,0.000
PNW87781,2452,2263.906,9.453092,53.000
PNW88230,1496,1307.906,115.465312,374.000
PNW87752,4376,4187.906,7.134954,74.000
PNW88916,8520,8331.906,2.083917,43.000
PNW88917,5952,5763.906,0.000000,0.000
PNW87954,6669,6480.906,0.311533,5.000
PNW88287,1215,1026.906,4.325322,11.000
PNW88286,1203,1014.906,0.000000,0.000
PNW88436,2741,2552.906,8.382961,53.000
PNW87861,1896,1707.906,60.997520,258.000
PNW88680,3646,3457.906,14.830197,127.000
PNW88028,1388,1199.906,4.374744,13.000
PNW88176,2289,2100.906,0.000000,0.000
PNW88177,2112,1923.906,12.802725,61.000
PNW88147,2007,1818.906,4.439930,20.000
PNW88951,6002,5813.906,0.680125,9.793
PNW88950,5025,4836.906,6.361881,76.207
PNW89029,1995,1806.906,18.995022,85.000
PNW88504,3172,2983.906,7.036790,52.000
PNW88598,1055,866.906,1.397352,3.000
PNW89070,1864,1675.906,39.273028,163.000
PNW87990,5262,5073.906,0.477491,6.000
PNW88685,3358,3169.906,1.401208,11.000
PNW88714,3211,3022.906,4.275017,32.004
PNW88467,2592,2403.906,2.015673,12.000
PNW88784,5838,5649.906,6.932452,97.000
PNW88157,1809,1620.906,0.249114,1.000
PNW88095,2268,2079.906,0.000000,0.000
PNW88096,3494,3305.906,10.748517,88.000
PNW88770,1280,1091.906,7.130865,19.283
PNW88771,399,212.858,0.000000,0.000
PNW88137,3456,3267.906,0.988500,8.000
PNW88473,4298,4109.906,8.534340,86.865
PNW88472,4554,4365.906,0.937347,10.135
PNW87795,2615,2426.906,7.154378,43.000
PNW88753,2855,2666.906,4.845055,32.000
PNW88088,1679,1490.906,7.312569,27.000
PNW88089,1749,1560.906,0.000000,0.000
PNW88355,7175,6986.906,10.518235,182.000
PNW88615,1257,1068.906,13.977152,37.000
PNW88797,1831,1642.906,0.245778,1.000
PNW87988,6932,6743.906,2.754246,46.000
PNW88264,2172,1983.906,0.610600,3.000
PNW88358,5884,5695.906,7.939837,112.000
PNW88267,22598,22409.906,3.747828,208.000
PNW88508,2242,2053.906,11.795792,60.000
PNW87754,1326,1137.906,5.677669,16.000
PNW87753,1338,1149.906,0.000000,0.000
PNW88442,5968,5779.906,17.674865,253.000
PNW88889,3866,3677.906,3.403435,31.000
PNW88494,8300,8111.906,0.049778,1.000
PNW88854,2101,1912.906,18.786800,89.000
PNW87854,12099,11910.906,10.780494,318.000
PNW88390,6288,6099.906,0.115992,1.752
PNW88388,7467,7278.906,0.623959,11.248
PNW88389,6285,6096.906,0.000000,0.000
PNW88626,5613,5424.906,1.339790,18.000
PNW88231,1378,1189.906,211.073741,622.000
PNW88241,10492,10303.906,2.116159,54.000
PNW88578,1790,1601.906,44.364141,176.000
PNW89018,2722,2533.906,3.505812,22.000
PNW87737,2900,2711.906,9.377374,62.980
PNW88993,1804,1615.906,2.248966,9.000
PNW87850,1319,1130.906,3.927558,11.000
PNW88003,2490,2301.906,155.526873,886.618
PNW88031,7175,6986.906,2.369492,41.000
PNW88030,6765,6576.906,0.000000,0.000
PNW88035,4587,4398.906,26.069340,284.000
PNW88427,1574,1385.906,1.748131,6.000
PNW88376,5436,5247.906,0.692489,9.000
PNW87784,4412,4223.906,2.007527,21.000
PNW87851,1543,1354.906,2.086149,7.000
PNW88622,3742,3553.906,0.681713,6.000
PNW88308,6227,6038.906,3.075785,46.000
PNW88067,2202,2013.906,9.824564,49.000
PNW88068,1991,1802.906,0.000000,0.000
PNW88996,2857,2668.906,6.959547,46.000
PNW88645,2969,2780.906,0.435603,3.000
PNW88856,2031,1842.906,1.095527,5.000
PNW88265,7767,7578.906,2.504077,47.000
PNW87819,3938,3749.906,0.000000,0.000
PNW87820,3935,3746.906,3.125227,29.000
PNW88403,1185,996.906,7.695838,19.000
PNW88848,4438,4249.906,0.380047,4.000
PNW88354,4224,4035.906,1.400694,14.000
PNW88808,2540,2351.906,2.037782,11.869
PNW88807,2028,1839.906,0.000000,0.000
PNW88809,809,620.923,0.000000,0.000
PNW88104,3768,3579.906,0.238637,2.116
PNW88103,5791,5602.906,2.010828,27.902
PNW88527,3902,3713.906,8.589197,79.000
PNW87987,1972,1783.906,3.395281,15.000
PNW88314,1261,1072.906,10.914223,29.000
PNW88039,2227,2038.906,0.000000,0.000
PNW88038,2917,2728.906,0.000000,0.000
PNW88002,1968,1779.906,0.000000,0.000
PNW88505,4315,4126.906,1.467652,15.000
PNW89059,4469,4280.906,1.334397,14.147
PNW88071,5392,5203.906,0.000000,0.000
PNW88072,5422,5233.906,11.726652,152.000
PNW88339,1806,1617.906,1.497457,6.000
PNW88837,1351,1162.906,4.166708,12.000
PNW88913,3607,3418.906,3.306947,28.000
PNW88124,4773,4584.906,4.227340,48.000
PNW87931,4409,4220.906,3.534922,36.951
PNW87930,4878,4689.906,2.501034,29.049
PNW88169,3129,2940.906,1.922221,14.000
PNW88170,2175,1986.906,0.000000,0.000
PNW88709,4378,4189.906,5.204103,54.000
PNW87950,6475,6286.906,17.726724,276.000
PNW88783,4764,4575.906,1.147156,13.000
PNW88796,3824,3635.906,0.000000,0.000
PNW88208,3219,3030.906,4.396407,33.000
PNW88183,3361,3172.906,0.562222,4.418
PNW89038,1489,1300.906,0.310392,1.000
PNW88963,3485,3296.906,6.736162,55.000
PNW88173,3958,3769.906,0.169465,1.582
PNW88133,1283,1094.906,0.368790,1.000
PNW88597,1497,1308.906,14.499261,47.000
PNW88930,1848,1659.906,3.892180,16.000
PNW88706,2958,2769.906,4.944617,33.919
PNW88705,2967,2778.906,1.610152,11.081
PNW88225,10299,10110.906,0.159745,4.000
PNW88880,2417,2228.906,18.659581,103.000
PNW88284,1937,1748.906,12.929389,56.000
PNW88090,1425,1236.906,2.611619,8.000
PNW88414,1802,1613.906,6.004674,24.000
PNW87838,3605,3416.906,26.116539,221.000
PNW88511,1547,1358.906,42.491600,143.000
PNW87842,2460,2271.906,4.082216,22.968
PNW88801,1126,937.906,2.583143,6.000
PNW89097,1326,1137.906,0.000000,0.000
PNW87971,815,626.921,0.000000,0.000
PNW88773,472,284.453,0.000000,0.000
PNW87808,1262,1073.906,4.601997,12.239
PNW88413,2215,2026.906,13.745860,69.000
PNW88056,1858,1669.906,29.741956,123.000
PNW88246,1471,1282.906,5.665446,18.000
PNW88921,6139,5950.906,4.071220,60.000
PNW88862,6066,5877.906,3.228729,47.000
PNW88977,1920,1731.906,0.000000,0.000
PNW88635,9515,9326.906,14.200139,328.000
