Name,Length,EffectiveLength,TPM,NumReads
PNW88964,1327,1126.792,23.590513,94.000
PNW89007,5090,4889.792,0.000000,0.000
PNW89008,3975,3774.792,0.000000,0.000
PNW87871,2041,1840.792,0.000000,0.000
PNW88663,2930,2729.792,8.287311,80.000
PNW87935,3925,3724.792,3.492279,46.000
PNW88719,3075,2874.792,0.000000,0.000
PNW88720,2102,1901.792,0.000000,0.000
PNW89054,1495,1294.792,63.441970,290.485
PNW88445,6061,5860.792,2.992966,62.030
PNW88986,3053,2852.792,3.767272,38.005
PNW87807,9739,9538.792,1.482278,50.000
PNW88379,4494,4293.792,22.434492,340.647
PNW88378,1626,1425.792,10.300799,51.937
PNW88412,1716,1515.792,34.513210,185.000
PNW89087,3057,2856.792,0.099099,1.001
PNW88665,1622,1421.792,1.591136,8.000
PNW88890,2518,2317.792,18.135936,148.649
PNW87944,2485,2284.792,46.596525,376.484
PNW88976,3201,3000.792,28.982648,307.554
PNW88531,1625,1424.792,43.486563,219.106
PNW88118,2291,2090.792,52.342740,387.003
PNW88228,3943,3742.792,0.679986,9.000
PNW88639,2099,1898.792,102.338455,687.168
PNW88721,1108,907.792,2.841699,9.122
PNW88722,381,186.406,4.365323,2.878
PNW88450,8748,8547.792,0.926315,28.000
PNW88449,5442,5241.792,0.000000,0.000
PNW87746,3203,3002.792,11.833408,125.656
PNW88263,1500,1299.792,10.225328,47.000
PNW88830,3784,3583.792,0.000000,0.000
PNW87919,3200,2999.792,1.602548,17.000
PNW87844,10605,10404.792,1.056712,38.881
PNW87843,10599,10398.792,1.772717,65.188
PNW88086,6004,5803.792,15.763765,323.533
PNW88642,626,426.133,0.000000,0.000
PNW87833,1287,1086.792,0.000000,0.000
PNW87832,2976,2775.792,12.055305,118.335
PNW88471,5077,4876.792,18.155229,313.100
PNW87887,2536,2335.792,27.239667,225.000
PNW89021,2091,1890.792,2.991159,20.000
PNW89093,5615,5414.792,4.969584,95.159
PNW87829,2526,2325.792,0.000000,0.000
PNW88777,691,491.019,161.386273,280.228
PNW88254,2082,1881.792,5.861623,39.006
PNW88534,2183,1982.792,4.278557,30.000
PNW87785,2502,2301.792,3.317041,27.000
PNW88324,2416,2215.792,136.954703,1073.131
PNW88510,1200,999.792,0.000000,0.000
PNW88509,1921,1720.792,189.122932,1150.852
PNW87979,4252,4051.792,0.000000,0.000
PNW88221,3217,3016.792,4.593079,49.000
PNW88340,3049,2848.792,0.000000,0.000
PNW89032,1285,1084.792,2.178532,8.357
PNW87890,985,784.793,4.323937,12.000
PNW87780,2525,2324.792,5.108796,42.000
PNW87864,1535,1334.792,23.304101,110.000
